Sign,Object,Interpretant
philjones77,sarahjessryan,Mentions
philjones77,amc_tv,Mentions
David177,walkingdead_amc,Mentions
imblack420,walkingdead_amc,Mentions
imblack420,therickygrimes,Mentions
albertovargas94,albertovargas94,Tweet
dkann41,walkingdead_amc,Mentions
dkann41,therickygrimes,Mentions
homewrecka,rosaacosta,Mentions
homewrecka,walkingdead_amc,Mentions
lovelyswagbaby1,walkingdead_amc,Mentions
lovelyswagbaby1,therickygrimes,Mentions
nadiraafa,walkingdead_amc,Replies to
maedeesay,walkingdead_amc,Mentions
joshhughess,walkingdead_amc,Mentions
joshhughess,thatmanjared,Replies to
thatmanjared,joshhughess,Replies to
thatmanjared,walkingdead_amc,Mentions
thatmanjared,walkingdead_amc,Mentions
ammedapriliyo,indovision_tv,Mentions
ammedapriliyo,walkingdead_amc,Mentions
zadf_org,walkingdeadarmy,Mentions
zadf_org,walkingdeadbot,Mentions
zadf_org,walkingdead_amc,Mentions
zadf_org,walkingaddicts,Mentions
zadf_org,deidbastards,Mentions
zadf_org,pumpkinbrains,Replies to
zadf_org,walkingdeadarmy,Mentions
zadf_org,walkingdeadbot,Mentions
zadf_org,walkingdead_amc,Mentions
zadf_org,walkingaddicts,Mentions
zadf_org,pumpkinbrains,Mentions
deidbastards,walkingdeadarmy,Mentions
deidbastards,walkingdeadbot,Mentions
deidbastards,walkingdead_amc,Mentions
deidbastards,walkingaddicts,Mentions
deidbastards,pumpkinbrains,Mentions
deidbastards,walkingdeadbot,Mentions
deidbastards,walkingdead_amc,Mentions
deidbastards,walkingaddicts,Mentions
deidbastards,walkingdeadarmy,Mentions
deidbastards,pumpkinbrains,Replies to
deidbastards,walkingdeadarmy,Mentions
deidbastards,walkingdead_amc,Mentions
deidbastards,walkingaddicts,Mentions
staciebee28,walkingdead_amc,Mentions
chellbelle242,walkingdead_amc,Mentions
quinnfurlong429,brandenriggs,Replies to
quinnfurlong429,walkingdead_amc,Mentions
ramenow,walkingdead_amc,Mentions
igalexia,walkingdead_amc,Mentions
michaelcompton_,walkingdeadbot,Mentions
michaelcompton_,walkingaddicts,Mentions
michaelcompton_,pumpkinbrains,Mentions
michaelcompton_,walkingdeadarmy,Mentions
michaelcompton_,walkingdead_amc,Mentions
alexjude99,ned_luke,Mentions
alexjude99,walkingdead_amc,Mentions
abbydreed,walkingdead_amc,Mentions
pdaytuck,wwwbigbaldhead,Mentions
pdaytuck,laurencohan,Mentions
pdaytuck,danaiguriratwd,Mentions
pdaytuck,steveyeun,Mentions
pdaytuck,andrewjlincoln,Mentions
pdaytuck,walkingdead_amc,Mentions
pdaytuck,katiecouric,Replies to
peaceful1275,jcooke1971,Mentions
peaceful1275,shoprazorsedge,Mentions
peaceful1275,wwwbigbaldhead,Mentions
peaceful1275,walkingdead_amc,Mentions
jsscrodirguez,walkingdead_amc,Mentions
jsscrodirguez,therickygrimes,Mentions
countofbluecars,walkingdead_amc,Mentions
countofbluecars,walkingdead_amc,Mentions
macberry07,walkingdead_amc,Mentions
xlilracinangelx,walkingdead_amc,Mentions
lindseyhawken,wwwbigbaldhead,Mentions
lindseyhawken,walkingdead_amc,Mentions
checacheerio,lindseyhawken,Mentions
checacheerio,wwwbigbaldhead,Mentions
checacheerio,walkingdead_amc,Mentions
tubesdirection,double_dixon,Mentions
tubesdirection,we_twd,Mentions
tubesdirection,walkingdead_amc,Mentions
tubesdirection,wwwbigbaldhead,Mentions
tubesdirection,michael_rooker,Mentions
tubesdirection,walkingdead_amc,Mentions
andrea1987stone,walkingdead_amc,Mentions
